Year,location,month,oindex,areano,device,monthf,latitude,longitude,station,distw,ndvi100m,ndvi200m,ndvi300m,ndvi400m,ndvi500m,ndvi600m,ndvi700m,ndvi800m,ndvi900m,ndvi1000m,Temp,monthn,Rainfall,Templag1,Templag2,Templag3,Templag4,Rainfalllag1,Rainfalllag2,Rainfalllag3,Rainfalllag4,nino12,nino3,nino4,nino34,nino4lag1,nino12lag1,nino34lag1,nino3lag1,epdstation,Ozone,Ozonelag1,Ozonelag2,Ozonelag3,Ozonelag4,nodevice
2010,Chai Wan West,1,0,4,ovitrap,1,22.2665552739525,114.239104969789,Shau Kei Wan,8.45012409405101,0.145084490946361,0.143076897657418,0.138449542305644,0.126737862502382,0.126701334036342,0.136004235693499,0.146198621988703,0.161364503282182,0.174903073688283,0.189362304707447,16.1,1,28.5,16.8,20.1,25.7,28.4,51.5,57,12,373,0.3,1,1.21,1.5,1.18,0.35,1.72,1.53,Eastern,34,,,,,57
2010,Wan Chai North,1,0,11,ovitrap,1,22.2779078358943,114.174372493173,Happy Valley,9.36650446237817,0.0118150857678201,0.0234123565373855,0.0420326114518078,0.0475381805623898,0.0532491197732193,0.0628457454691894,0.0738728925693542,0.0892351991623278,0.103584822913002,0.116644461335938,16.8,1,25.5,17.2,20.5,26,28.8,36,40,34.5,628.5,0.3,1,1.21,1.5,1.18,0.35,1.72,1.53,Central/Western,31,,,,,58
2010,Happy Valley,1,0,12,ovitrap,1,22.2711892150753,114.185685750039,Happy Valley,9.29111046236238,0.144708120913217,0.165952916645134,0.174124089037245,0.168820547461705,0.177031233513778,0.183664611951591,0.188747149254677,0.182500652356834,0.174935648071469,0.174772008735347,16.8,1,25.5,17.2,20.5,26,28.8,36,40,34.5,628.5,0.3,1,1.21,1.5,1.18,0.35,1.72,1.53,Eastern,34,,,,,57
2010,"Central, Sheung Wan and Sai Ying Pun",1,0,2,ovitrap,1,22.2862389160111,114.14409753038,Hong Kong International Airport,10.1320378034158,0.115830780672176,0.0820100809652226,0.0632179907458941,0.0668731099432702,0.0739389918896324,0.0805229618066257,0.0893416125371863,0.0958529251254456,0.104316813449553,0.115433420011507,17.4,1,32.5,17.7,20.7,27.3,29.9,36.2,33.4,4.7,262.2,0.3,1,1.21,1.5,1.18,0.35,1.72,1.53,Central/Western,31,,,,,60
2010,Sai Wan,1,0,3,ovitrap,1,22.283444716769,114.130115961792,Hong Kong International Airport,10.8387145189191,0.0269673022441566,0.0841153559903452,0.0877501062433501,0.0991022871058017,0.111831871314359,0.133904031830479,0.153602694472207,0.166764009600838,0.180395292435708,0.189975937472626,17.4,1,32.5,17.7,20.7,27.3,29.9,36.2,33.4,4.7,262.2,0.3,1,1.21,1.5,1.18,0.35,1.72,1.53,Central/Western,31,,,,,55
2010,North Point,1,0,6,ovitrap,1,22.2909917183459,114.202502950248,Happy Valley,6.51786616879235,0.0243172003071155,0.059360955020249,0.0731231924290341,0.0837604825280718,0.0964541465741532,0.107350916577819,0.118544686503457,0.129669313582848,0.138958004337102,0.14775320925553,16.8,1,25.5,17.2,20.5,26,28.8,36,40,34.5,628.5,0.3,1,1.21,1.5,1.18,0.35,1.72,1.53,Eastern,34,,,,,58
2010,Aberdeen and Ap Lei Chau,1,0,7,ovitrap,1,22.2447100647472,114.157136222272,Happy Valley,13.3759506236653,0.144451333263091,0.116491247128059,0.119396442193235,0.12394452950669,0.128711674202091,0.143523868258448,0.154130150505623,0.162392364819055,0.1674216475969,0.172350982843533,16.8,1,25.5,17.2,20.5,26,28.8,36,40,34.5,628.5,0.3,1,1.21,1.5,1.18,0.35,1.72,1.53,Central/Western,31,,,,,55
2010,Pokfulam,1,0,8,ovitrap,1,22.2599584366354,114.137109588003,Happy Valley,13.1413600060238,0.117875323102281,0.174180732858885,0.226743596906573,0.24939377846141,0.254951953684475,0.259750004621809,0.261773908385381,0.261673081105402,0.263551385418598,0.268514475806714,16.8,1,25.5,17.2,20.5,26,28.8,36,40,34.5,628.5,0.3,1,1.21,1.5,1.18,0.35,1.72,1.53,Central/Western,31,,,,,60
2010,Cheung Chau,1,0,14,ovitrap,1,22.2106227250872,114.028951562324,Cheung Chau,6.95187325727444,0.076238742825808,0.0762814486833205,0.0877662524732144,0.110439949010939,0.13927659714233,0.156583064720725,0.163515789884877,0.176203285824273,0.18980209749444,0.201306842665884,16.1,1,9.5,16.4,19.4,25.2,27.9,27.5,21,7,205,0.3,1,1.21,1.5,1.18,0.35,1.72,1.53,Tung Chung,35,,,,,35
2010,Tung Chung,1,0,15,ovitrap,1,22.2899582929414,113.941329683939,Sha Lo Wan,1.18681867578074,0.0965097768025266,0.0990967682864465,0.104815695733901,0.120789098001306,0.143289450310181,0.159891799946978,0.178027799815601,0.188142430868269,0.19023019345084,0.19140469400315,16.4,1,31.5,16.7,19.7,26,28.5,38.5,26,4,206.5,0.3,1,1.21,1.5,1.18,0.35,1.72,1.53,Tung Chung,35,,,,,50
